2024/7/20 	 21:36:58 
 This file comes from Vt only measurement 	 1.000000E-1 
 Voltage Sensitivity 	 0.000000E+0 
 Sampling rate 	 200 
 Number of samples per channel 	 -1 
 No filter from Labview 	 	 	 
 	 
 ***End_of_Header*** 
 	 Time 	  Voltage 	 Filtered Voltage 	 
	0.000000	0.175863
	0.005000	0.254793
	0.010000	0.346877
	0.015000	0.258081
	0.020000	0.175863
	0.025000	0.254793
	0.030000	0.346877
	0.035000	0.264659
	0.040000	0.169286
	0.045000	0.251504
	0.050000	0.343588
	0.055000	0.261370
	0.060000	0.169286
	0.065000	0.254793
	0.070000	0.337011
	0.075000	0.261370
	0.080000	0.169286
	0.085000	0.254793
	0.090000	0.340299
	0.095000	0.258081
	0.100000	0.172575
	0.105000	0.248215
	0.110000	0.333722
	0.115000	0.254793
	0.120000	0.169286
	0.125000	0.248215
	0.130000	0.337011
	0.135000	0.251504
	0.140000	0.165997
	0.145000	0.244927
	0.150000	0.330433
	0.155000	0.251504
	0.160000	0.159420
	0.165000	0.244927
	0.170000	0.330433
	0.175000	0.248215
	0.180000	0.162708
	0.185000	0.248215
	0.190000	0.330433
	0.195000	0.248215
	0.200000	0.162708
	0.205000	0.241638
	0.210000	0.330433
	0.215000	0.244927
	0.220000	0.162708
	0.225000	0.238349
	0.230000	0.327145
	0.235000	0.251504
	0.240000	0.162708
	0.245000	0.244927
	0.250000	0.323856
	0.255000	0.248215
	0.260000	0.156131
	0.265000	0.241638
	0.270000	0.323856
	0.275000	0.244927
	0.280000	0.152842
	0.285000	0.238349
	0.290000	0.323856
	0.295000	0.244927
	0.300000	0.156131
	0.305000	0.231772
	0.310000	0.323856
	0.315000	0.241638
	0.320000	0.156131
	0.325000	0.231772
	0.330000	0.320567
	0.335000	0.241638
	0.340000	0.146265
	0.345000	0.228483
	0.350000	0.317278
	0.355000	0.241638
	0.360000	0.156131
	0.365000	0.231772
	0.370000	0.320567
	0.375000	0.241638
	0.380000	0.152842
	0.385000	0.231772
	0.390000	0.323856
	0.395000	0.241638
	0.400000	0.149554
	0.405000	0.235060
	0.410000	0.317278
	0.415000	0.241638
	0.420000	0.152842
	0.425000	0.225194
	0.430000	0.317278
	0.435000	0.235060
	0.440000	0.149554
	0.445000	0.228483
	0.450000	0.320567
	0.455000	0.235060
	0.460000	0.146265
	0.465000	0.231772
	0.470000	0.313990
	0.475000	0.235060
	0.480000	0.146265
	0.485000	0.221905
	0.490000	0.310701
	0.495000	0.235060
	0.500000	0.139687
	0.505000	0.225194
	0.510000	0.310701
	0.515000	0.235060
	0.520000	0.142976
	0.525000	0.221905
	0.530000	0.307412
	0.535000	0.228483
	0.540000	0.142976
	0.545000	0.225194
	0.550000	0.310701
	0.555000	0.228483
	0.560000	0.139687
	0.565000	0.221905
	0.570000	0.304124
	0.575000	0.235060
	0.580000	0.139687
	0.585000	0.221905
	0.590000	0.307412
	0.595000	0.228483
	0.600000	0.142976
	0.605000	0.215328
	0.610000	0.307412
	0.615000	0.228483
	0.620000	0.139687
	0.625000	0.218617
	0.630000	0.304124
	0.635000	0.225194
	0.640000	0.136399
	0.645000	0.215328
	0.650000	0.300835
	0.655000	0.225194
	0.660000	0.133110
	0.665000	0.212039
	0.670000	0.304124
	0.675000	0.225194
	0.680000	0.136399
	0.685000	0.212039
	0.690000	0.304124
	0.695000	0.225194
	0.700000	0.129821
	0.705000	0.212039
	0.710000	0.304124
	0.715000	0.221905
	0.720000	0.133110
	0.725000	0.208751
	0.730000	0.300835
	0.735000	0.221905
	0.740000	0.129821
	0.745000	0.208751
	0.750000	0.304124
	0.755000	0.221905
	0.760000	0.129821
	0.765000	0.205462
	0.770000	0.297546
	0.775000	0.225194
	0.780000	0.126533
	0.785000	0.208751
	0.790000	0.294257
	0.795000	0.215328
	0.800000	0.129821
	0.805000	0.208751
	0.810000	0.290969
	0.815000	0.218617
	0.820000	0.129821
	0.825000	0.205462
	0.830000	0.297546
	0.835000	0.215328
	0.840000	0.126533
	0.845000	0.205462
	0.850000	0.290969
	0.855000	0.212039
	0.860000	0.123244
	0.865000	0.202173
	0.870000	0.294257
	0.875000	0.212039
	0.880000	0.126533
	0.885000	0.198884
	0.890000	0.290969
